subject,times,subelements,train_loss_per_epochs,train_acc_per_epochs,val_loss_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
optimizer,1.0,sgd_momentum,0.8714,0.7005,1.4758,0.5196,0.6977,0.5167
optimizer,1.0,rmsprop,0.3081,0.8896,5.3411,0.4702,0.8891,0.4690
optimizer,1.0,adam,0.2006,0.9274,6.2906,0.4697,0.9272,0.4686
optimizer,2.0,sgd_momentum,0.8797,0.6975,1.4658,0.5195,0.6959,0.5170
optimizer,2.0,rmsprop,0.2856,0.9000,5.3254,0.4585,0.9001,0.4588
optimizer,2.0,adam,0.2316,0.9184,6.0712,0.4648,0.9185,0.4644
optimizer,3.0,sgd_momentum,0.8686,0.7024,1.4884,0.5196,0.6995,0.5159
optimizer,3.0,rmsprop,0.2675,0.9048,5.7210,0.4638,0.9046,0.4628
optimizer,3.0,adam,0.2230,0.9174,6.0481,0.4664,0.9174,0.4661
