subject,times,subelements,train_loss_per_epochs,train_acc_per_epochs,val_loss_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
batch_norm,1.0,True,1.0942,0.6119,1.3980,0.5104,0.6107,0.5086
batch_norm,1.0,False,0.8721,0.7013,1.5171,0.5133,0.6985,0.5093
batch_norm,2.0,True,1.1011,0.6115,1.3934,0.5220,0.6093,0.5197
batch_norm,2.0,False,0.8594,0.7045,1.5045,0.5095,0.7025,0.5072
batch_norm,3.0,True,1.0905,0.6149,1.4133,0.5116,0.6133,0.5087
batch_norm,3.0,False,0.8725,0.6989,1.4669,0.5268,0.6966,0.5248
