subject,times,subelements,train_loss_per_epochs,train_acc_per_epochs,val_loss_per_epochs,val_acc_per_epochs,train_f1_per_epochs,val_f1_per_epochs
hiddenLayers,1.0,128_256_150_100_10,0.3025,0.9090,2.5441,0.4948,0.9085,0.4933
hiddenLayers,1.0,128_150_100_10,0.8696,0.7012,1.4691,0.5159,0.6994,0.5137
hiddenLayers,1.0,128_150_10,1.0904,0.6230,1.3743,0.5226,0.6197,0.5190
hiddenLayers,2.0,128_256_150_100_10,0.3473,0.8883,2.4372,0.4969,0.8876,0.4948
hiddenLayers,2.0,128_150_100_10,0.8806,0.6954,1.4730,0.5182,0.6937,0.5158
hiddenLayers,2.0,128_150_10,1.0935,0.6238,1.3786,0.5229,0.6216,0.5208
hiddenLayers,3.0,128_256_150_100_10,0.3430,0.8914,2.4880,0.4940,0.8915,0.4950
hiddenLayers,3.0,128_150_100_10,0.8667,0.6984,1.4678,0.5230,0.6961,0.5205
hiddenLayers,3.0,128_150_10,1.0876,0.6260,1.3682,0.5294,0.6243,0.5278
